stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
,,,,,,,,89.09066991700001,94.66729691699948,,,,,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
,,,,,,,,,,,,,,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
stimuli/asdfghertghvgh.jpg,f,0,0,0,10,97.1709050419995,,,,j,0,107.36310629199943,None,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
stimuli/khfp.jpg,f,0,1,1,8,108.37267741699998,,,,j,0,113.22734783299984,None,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
stimuli/zgfdetz.jpg,j,0,2,2,15,114.23899704199994,,,,j,1,118.07296737499928,None,1,,,,2024-05-15_17h15.57.821,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-15 17h16.04.190293 +0200,
,,,,,,119.08979279199957,,,,,,,,,,,,,,,,,
