stimulus,correct_answer,cat_training_trials.thisRepN,cat_training_trials.thisTrialN,cat_training_trials.thisN,cat_training_trials.thisIndex,thisRow.t,notes,instructions_cat_2.started,instructions_cat_2.stopped,cat_training_key.keys,cat_training_key.corr,cat_training_key.rt,cat_training_key.duration,participant,Alter,Geschlecht,Haendigkeit,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
,,,,,,,,,,,,,,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
,,,,,,,,,,,,,,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
,,,,,,,,,,,,,,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
,,,,,,,,,,,,,,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
,,,,,,,,74.02108670899179,76.11148616699211,,,,,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
,,,,,,,,,,,,,,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
stimuli/asdfghjkloelkjhg.jpg,f,0,0,0,4,78.63123083399842,,,,f,1,85.84178437499213,None,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
stimuli/asdfghertghvgh.jpg,f,0,1,1,10,86.852900124999,,,,j,0,90.65834483399522,None,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
stimuli/fvbjgv.jpg,f,0,2,2,1,91.66976041698945,,,,j,0,94.12134166699252,None,12,,,,2024-05-20_15h53.33.897,SceneCat_2023_2_key_resp,2024.1.1,None,2024-05-20 15h53.40.417831 +0200,
,,,,,,95.12648141699901,,,,,,,,,,,,,,,,,
